Manga series,Author(s),Publisher,Demographic,No. of volumes,Published,End,Approximate sales in million(s),Average sales per volume in million(s)
Nodame Cantabile,Tomoko Ninomiya,Kodansha,Josei,23,2001,2009,39,1.69
Chihayafuru,Yuki Suetsugu,Kodansha,Josei,50,2007,2022,28,0.56
Jingi ,Tachihara Ayumi,Akita Shoten,Seinen,81,1988,2019,30,0.37
Jarinko Chie,Etsumi Haruki,Futabasha,Seinen,67,1978,1997,30,0.44
Crayon Shin-chan,"Yoshito Usui, UY Team",Futabasha,Seinen,61,1990,present,58,0.95
Berserk,"Kentaro Miura, Koji Mori, Studio Gaga",Hakusensha,Seinen,41,1989,present,55,1.34
Futari Ecchi,Katsu Aki,Hakusensha,Seinen,87,1997,present,29.5,0.34
Shizukanaru Don - Yakuza Side Story,Tatsuo Nitta,Jitsugyo no Nihon Sha,Seinen,108,1988,2013,46,0.42
Vagabond,Takehiko Inoue,Kodansha,Seinen,37,1998,2015,82,2.21
Parasyte,Hitoshi Iwaaki,Kodansha,Seinen,10,1988,1995,25,2.5
The Silent Service,Kaiji Kawaguchi,Kodansha,Seinen,32,1988,1996,32,1
The Ping Pong Club,Minoru Furuya,Kodansha,Seinen,13,1993,1996,25,1.92
3×3 Eyes,Yuzo Takada,Kodansha,Seinen,40,1987,2002,33.33,0.83
Be-Bop High School,Kazuhiro Kiuchi,Kodansha,Seinen,48,1983,2003,40,0.83
Emblem Take 2 ,"Kazumasa Kiuchi, Jun Watanabe",Kodansha,Seinen,62,1990,2004,25,0.4
Initial D,Shuichi Shigeno,Kodansha,Seinen,48,1995,2013,56,1.16
Oh My Goddess!,Kosuke Fujishima,Kodansha,Seinen,48,1988,2014,25,0.52
Kosaku Shima,Kenshi Hirokane,Kodansha,Seinen,106,1983,present,47,0.44
Cooking Papa,Tochi Ueyama,Kodansha,Seinen,163,1985,present,40,0.24
Kaiji,Nobuyuki Fukumoto,Kodansha,Seinen,79,1996,present,21.5,0.28
Space Brothers,Chūya Koyama,Kodansha,Seinen,42,2007,present,31,0.73
Giant Killing,"Masaya Tsunamoto, Tsujitomo",Kodansha,Seinen,61,2007,present,20,0.32
The Fable,Katsuhisa Minami,Kodansha,Seinen,26,2014,present,20,1.53
Weed,Yoshihiro Takahashi,Nihon Bungeisha,Seinen,60,1999,2009,20,0.33
